timestamp, index, name, memory.used [MiB], memory.total [MiB]
2026/09/11 08:21:53.431, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:53.532, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:53.632, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:53.732, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:53.833, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:53.933, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:54.033, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:54.133, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:54.234, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:54.334, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:54.434, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:54.534, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:54.635, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:54.735, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:54.835, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:54.935, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:55.036, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:55.136, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:55.236, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:55.336, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:55.437, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:55.537, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:55.637, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:55.738, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:55.838, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:55.938, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:56.038, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:56.140, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:56.240, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:56.341, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:56.441, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:56.541, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:56.641, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:56.741, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:56.842, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:56.942, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:57.042, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:57.142, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:57.243, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:57.343, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:57.443, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:57.543, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:57.644, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:57.744, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:57.844, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:57.944, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:58.044, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:58.145, 0, Tesla T4, 0 MiB, 15360 MiB
2026/09/11 08:21:58.245, 0, Tesla T4, 0 MiB, 15360 MiB
